,created_date,job_title,company,salary,address,time,link_description,min_salary,max_salary,salary_unit,position,level,city,district
1158,2023-08-01,Data Engineer (Middle - Senior) Up To $2000,CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,Tới 50 triệu,Hà Nội: Nam Từ Liêm,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/data-engineer-middle-senior-up-to-2000/1043527.html?ta_source=JobSearchList_LinkDetail,,50,million VND,DATA_ENGINEER,SENIOR,Hà Nội, Nam Từ Liêm
1159,2023-08-01,Lập Trình Viên Android,Công ty Cổ phần Công nghệ SAVIS,10 - 25 triệu,Hà Nội,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-vien-android/252168.html?ta_source=JobSearchList_LinkDetail,10,25,million VND,MOBILE_DEVELOPER,UNKNOWN,Hà Nội,
1160,2023-08-01,Business Analyst (Ba Từ 3 Năm Kinh Nghiệm),Công ty TNHH Relipa,30 - 50 triệu,Hà Nội: Nam Từ Liêm,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/business-analyst-ba-tu-3-nam-kinh-nghiem/1069573.html?ta_source=JobSearchList_LinkDetail,30,50,million VND,BUSINESS_ANALYST,MIDDLE,Hà Nội, Nam Từ Liêm
1161,2023-08-01,Middle UI/UX Designer,Công ty Cổ Phần Rikkeisoft,Tới 35 triệu,Hồ Chí Minh: Tân Bình,Còn 25 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/middle-ui-ux-designer/1069976.html?ta_source=JobSearchList_LinkDetail,,35,million VND,UI_UX_DESIGNER,MIDDLE,Hồ Chí Minh, Tân Bình
1162,2023-08-01,JavaScript Developer (Teamlead/Techlead),Azoom VietNam Inc,Tới 45 triệu,Hà Nội: Nam Từ Liêm: Đà Nẵng: Hải Châu,Còn 4 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/javascript-developer-teamlead-techlead/1062053.html?ta_source=JobSearchList_LinkDetail,,45,million VND,SOFTWARE_ENGINEER,LEAD,Hà Nội, Nam Từ Liêm
1163,2023-08-01,Fresher Android Developer,Công ty Phát triển giải pháp và Công nghệ thông tin Việt Nam,8 - 12 triệu,Hà Nội: Cầu Giấy,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/fresher-android-developer/720408.html?ta_source=JobSearchList_LinkDetail,8,12,million VND,SOFTWARE_ENGINEER,FRESHER,Hà Nội, Cầu Giấy
1164,2023-08-01,Android Developer (Java/Kotlin),Công ty Phát triển giải pháp và Công nghệ thông tin Việt Nam,Tới 18 triệu,Hà Nội: Nam Từ Liêm,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/android-developer-java-kotlin/1070027.html?ta_source=JobSearchList_LinkDetail,,18,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Nam Từ Liêm
1165,2023-08-01,.Net Developer,Công Ty Cổ Phần VCCorp,15 - 25 triệu,Hà Nội: Thanh Xuân,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/net-developer/1068512.html?ta_source=JobSearchList_LinkDetail,15,25,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Thanh Xuân
1166,2023-08-01,"Automation Tester (My Sql, QA QC)",GOT IT,Thoả thuận,Hồ Chí Minh: Quận 1,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/automation-tester-my-sql-qa-qc/866115.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,QA_TESTER,UNKNOWN,Hồ Chí Minh, Quận 1
1167,2023-08-01,Website Quality Control (Tester),Công ty Cổ phần VCCorp,Thoả thuận,Hà Nội: Thanh Xuân,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/website-quality-control-tester/1069296.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Thanh Xuân
